# THE MOON THIEF - all strings (english).   key|value, \n = line break

# ---- title
title.name|THE MOON THIEF
title.tagline|The moon is gone. Find the shards and raise it again.
title.footer|a tale in three nights
title.tap|TAP OR ENTER TO BEGIN

# ---- splash
splash.studio|F7 DEVELOPER GAMES
splash.made|a hand-built night tale
splash.presents|presents

# ---- main menu
menu.new|NEW GAME
menu.continue|CONTINUE
menu.nosave|NO SAVE
menu.story|STORY
menu.settings|SETTINGS
menu.about|ABOUT
menu.share|SHARE
menu.rate|RATE US
menu.credits|CREDITS
menu.hint|PICK A ROW
share.copied|Store link copied - send it to a friend.
share.text|The Moon Thief - a tale in three nights. {0}
rate.store|Opening the store page...
rate.thanks|Stars make the night brighter. Thank you!
cred.title|THE MOON THIEF
cred.sub|a tale in three nights
cred.body|studio      f7 developer games\npixel art   super retro collection\ncode        unity, built from scratch\nsound       chiptune written in code\nfont        5x8 bitmap, drawn by hand\nversion     {0}
cred.thanks|thank you for playing
menu.back|BACK

# ---- settings
set.title|SETTINGS
set.hint|CHANGES APPLY RIGHT AWAY
set.textspeed|TEXT SPEED
set.speed.slow|SLOW
set.speed.normal|NORMAL
set.speed.fast|FAST
set.speed.instant|INSTANT
set.sound|SOUND
set.shake|SCREEN SHAKE
set.erase|ERASE SAVE
set.erase.sure|SURE? ONE MORE TAP
set.erased|Save erased. The night is clear.
set.on|ON
set.off|OFF
set.saved|PROGRESS SAVED
set.music|MUSIC
set.autobattle|AUTO BATTLE
set.difficulty|DIFFICULTY
set.diff.story|STORY
set.diff.normal|NORMAL

# ---- onboarding (first boot, three cards)
onb.title.1|WALK
onb.body.1|Drag anywhere on the road to walk.\nTap a villager to talk.\nTap a chest to open it.
onb.title.2|FIGHT & BEFRIEND
onb.body.2|Wild beasts chase you in the dark.\nIn a fight: ATTACK, BEFRIEND,\nshare a MORSEL, or LET GO.\nAUTO fights for you.
onb.title.3|THE QUEST
onb.body.3|Your goal is written in the corner.\nFollow the moon-chevron.\nGather shards. Raise the moon.
onb.next|NEXT
onb.start|BEGIN

# ---- the shop
shop.title|MARN'S WARES
shop.sub|{0} GOLD
shop.buy|BUY
shop.sold|Carried off. Careful out there.
shop.poor|Not enough gold, love.
shop.owned|OWNED
shop.have|You already have one, love.
shop.hint|TAP A WARE TO BUY IT

# ---- pause
pause.title|PAUSED
pause.hint|PROGRESS SAVES WHEN YOU TAP SAVE
pause.resume|RESUME
pause.save|SAVE PROGRESS
pause.settings|SETTINGS
pause.totitle|LEAVE TO TITLE

# ---- cinematic intro
ci.skip|TAP OR ENTER TO SKIP
ci.0a|Quiet Hollow, on the last\ngood night of the year.
ci.1|Night came early.
ci.2|The moon did not rise.
ci.3|No one saw it go.
ci.4|Only tracks, crossing\nall four roads.
ci.5|Something walked out\ncarrying the sky\nin four pieces.
ci.6|Mira kept the last\nlantern of Quiet Hollow.
ci.7|She gives it to you.
ci.8|Gather the shards.\nRaise three friends.\nClimb the dark wood.
ci.9|Hang the moon back\nwhere it belongs.
ci.ch.1|NIGHT ONE\nthe village of Quiet Hollow
ci.ch.2|NIGHT TWO\nthe long fields
ci.ch.3|NIGHT THREE\nthe dark wood
ci.goal.1|gather what shines. something stalks the north gate.
ci.goal.2|two more sleep out in the fields. the thane holds the wall.
ci.goal.3|the last shard walks on two legs. reach the guard at the crystal.

# ---- hud
hud.nightshort|NIGHT {0}
hud.round|ROUND {0}
hud.roundf|ROUND {0} - FLOW x{1}
hud.explore|NIGHT {0}    SHARD {1}/{2}    GOLD {3}
hud.quest|NEXT: {0}

# ---- quest chain (the clear workflow). Kept short: this line lives in the corner of the
# ---- screen over the world, and a 39-character line ran most of the way across it.
# Numbered: the corner line reads like a walkthrough, so the order is never in doubt.
quest.1|1. Talk to Mira.
quest.2|2. Open night chests. {0} left.
quest.3|3. Follow the lamps.
quest.4|4. Face the Pale Guard.
quest.5|5. Raise the moon at Mira's crystal.

# ---- heroes
hero.amber|AMBER
hero.sea|SEA
hero.moss|MOSS
hero.you|YOU

# ---- battle menu
menu.attack|ATTACK
menu.strike|STRIKE
menu.sweep|SWEEP
menu.mend|MEND
menu.befriend|BEFRIEND
menu.morsel|MORSEL
menu.run|FLEE

# ---- battle messages
bt.one|A wild {0} blocks the way!
bt.two|{0} and a friend appear!
bt.three|{0} answers the dark with its pack!
bt.moonlit|A MOONLIT {0} shimmers into view!
bt.flee|The party melts back into the dark.
bt.noflee|The Guard bars every way out!
bt.boss|The {0} bars your way!
bt.fam.slime|Something wet glistens on the road. It is a {0}.
bt.fam.mushroom|A {0} pops out of the loam!
bt.fam.wasp|A {0} dives out of the dark!
bt.fam.ghost|A {0} drifts out of the treeline.
bt.fam.skeleton|A {0} drags itself upright.
